Year,Score 1,Score 2,Player 1,Player 2,Winner
1975,England,India,,,England
1975,New Zealand,East Africa,,,New Zealand
1975,England,New Zealand,,,England
1975,East Africa,India,,,India
1975,England,East Africa,,,England
1975,India,New Zealand,,,New Zealand
1975,Australia,Pakistan,,,Australia
1975,Sri Lanka,West Indies,,,West Indies
1975,Australia,Sri Lanka,,,Australia
1975,Pakistan,West Indies,,,West Indies
1975,Australia,West Indies,,,West Indies
1975,Pakistan,Sri Lanka,,,Pakistan
1975,England,Australia,,,Australia
1975,New Zealand,West Indies,,,West Indies
1975,West Indies,Australia,,,West Indies
1979,Australia,England,,,England
1979,Canada,Pakistan,,,Pakistan
1979,Pakistan,Australia,,,Pakistan
1979,Canada,England,,,England
1979,Canada,Australia,,,Australia
1979,England,Pakistan,,,England
1979,India,West Indies,,,West Indies
1979,Sri Lanka,New Zealand,,,New Zealand
1979,Sri Lanka,West Indies,,,Match abandoned
1979,India,New Zealand,,,New Zealand
1979,Sri Lanka,India,,,Sri Lanka
1979,West Indies,New Zealand,,,West Indies
1979,West Indies,Pakistan,,,West Indies
1979,England,New Zealand,,,England
1979,West Indies,England,,,West Indies
1983,England,New Zealand,,,England
1983,Pakistan,Sri Lanka,,,Pakistan
1983,England,Sri Lanka,,,England
1983,New Zealand,Pakistan,,,New Zealand
1983,Pakistan,England,,,England
1983,Sri Lanka,New Zealand,,,New Zealand
1983,England,New Zealand,,,New Zealand
1983,Pakistan,Sri Lanka,,,Pakistan
1983,Pakistan,England,,,England
1983,New Zealand,Sri Lanka,,,Sri Lanka
1983,Sri Lanka,England,,,England
1983,Pakistan,New Zealand,,,Pakistan
1983,Zimbabwe,Australia,,,Zimbabwe
1983,India,West Indies,,,India
1983,West Indies,Australia,,,West Indies
1983,Zimbabwe,India,,,India
1983,Australia,India,,,Australia
1983,Zimbabwe,West Indies,,,West Indies
1983,West Indies,India,,,West Indies
1983,Australia,Zimbabwe,,,Australia
1983,Australia,West Indies,,,West Indies
1983,India,Zimbabwe,,,India
1983,India,Australia,,,India
1983,Zimbabwe,West Indies,,,West Indies
1983,England,India,,,India
1983,Pakistan,West Indies,,,West Indies
1983,India,West Indies,,,India
1987,Australia,India,,,Australia
1987,New Zealand,Zimbabwe,,,New Zealand
1987,Australia,Zimbabwe,,,Australia
1987,India,New Zealand,,,India
1987,Zimbabwe,India,,,India
1987,Australia,New Zealand,,,Australia
1987,India,Australia,,,India
1987,Zimbabwe,New Zealand,,,New Zealand
1987,Zimbabwe,India,,,India
1987,Australia,New Zealand,,,Australia
1987,Australia,Zimbabwe,,,Australia
1987,New Zealand,India,,,India
1987,Pakistan,Sri Lanka,,,Pakistan
1987,West Indies,England,,,England
1987,Pakistan,England,,,Pakistan
1987,West Indies,Sri Lanka,,,West Indies
1987,West Indies,Pakistan,,,Pakistan
1987,England,Sri Lanka,,,England
1987,England,Pakistan,,,Pakistan
1987,West Indies,Sri Lanka,,,West Indies
1987,Pakistan,Sri Lanka,,,Pakistan
1987,England,West Indies,,,England
1987,Sri Lanka,England,,,England
1987,West Indies,Pakistan,,,West Indies
1987,Australia,Pakistan,,,Australia
1987,England,India,,,England
1987,Australia,England,,,Australia
1992,New Zealand,Australia,,,New Zealand
1992,England,India,,,England
1992,Zimbabwe,Sri Lanka,,,Sri Lanka
1992,Pakistan,West Indies,,,West Indies
1992,Sri Lanka,New Zealand,,,New Zealand
1992,Australia,South Africa,,,South Africa
1992,Pakistan,Zimbabwe,,,Pakistan
1992,West Indies,England,,,England
1992,India,Sri Lanka,,,No result
1992,South Africa,New Zealand,,,New Zealand
1992,West Indies,Zimbabwe,,,West Indies
1992,Australia,India,,,Australia
1992,Pakistan,England,,,No result
1992,South Africa,Sri Lanka,,,Sri Lanka
1992,New Zealand,Zimbabwe,,,New Zealand
1992,India,Pakistan,,,India
1992,South Africa,West Indies,,,South Africa
1992,Australia,England,,,England
1992,India,Zimbabwe,,,India
1992,Sri Lanka,Australia,,,Australia
1992,West Indies,New Zealand,,,New Zealand
1992,South Africa,Pakistan,,,South Africa
1992,England,Sri Lanka,,,England
1992,India,West Indies,,,West Indies
1992,Zimbabwe,South Africa,,,South Africa
1992,Pakistan,Australia,,,Pakistan
1992,India,New Zealand,,,New Zealand
1992,South Africa,England,,,England
1992,West Indies,Sri Lanka,,,West Indies
1992,Australia,Zimbabwe,,,Australia
1992,England,New Zealand,,,New Zealand
1992,India,South Africa,,,South Africa
1992,Sri Lanka,Pakistan,,,Pakistan
1992,New Zealand,Pakistan,,,Pakistan
1992,Zimbabwe,England,,,Zimbabwe
1992,Australia,West Indies,,,Australia
1992,New Zealand,Pakistan,,,Pakistan
1992,England,South Africa,,,England
1992,Pakistan,England,,,Pakistan
1996,Zimbabwe,West Indies,,,West Indies
1996,Sri Lanka,Australia,,,Sri Lanka
1996,Kenya,India,,,India
1996,Zimbabwe,Sri Lanka,,,Sri Lanka
1996,West Indies,India,,,India
1996,Australia,Kenya,,,Australia
1996,Sri Lanka,West Indies,,,Sri Lanka
1996,Kenya,Zimbabwe,,,Zimbabwe
1996,Australia,India,,,Australia
1996,Kenya,West Indies,,,Kenya
1996,Zimbabwe,Australia,,,Australia
1996,India,Sri Lanka,,,Sri Lanka
1996,Australia,West Indies,,,West Indies
1996,India,Zimbabwe,,,India
1996,Sri Lanka,Kenya,,,Sri Lanka
1996,New Zealand,England,,,New Zealand
1996,South Africa,United Arab Emirates,,,South Africa
1996,New Zealand,Netherlands,,,New Zealand
1996,United Arab Emirates,England,,,England
1996,New Zealand,South Africa,,,South Africa
1996,England,Netherlands,,,England
1996,United Arab Emirates,Pakistan,,,Pakistan
1996,South Africa,England,,,South Africa
1996,Netherlands,Pakistan,,,Pakistan
1996,New Zealand,United Arab Emirates,,,New Zealand
1996,Pakistan,South Africa,,,South Africa
1996,Netherlands,United Arab Emirates,,,United Arab
1996,England,Pakistan,,,Pakistan
1996,South Africa,Netherlands,,,South Africa
1996,Pakistan,New Zealand,,,Pakistan
1996,England,Sri Lanka,,,Sri Lanka
1996,India,Pakistan,,,India
1996,West Indies,South Africa,,,West Indies
1996,New Zealand,Australia,,,Australia
1996,Sri Lanka,India,,,Sri Lanka
1996,Australia,West Indies,,,Australia
1996,Australia,Sri Lanka,,,Sri Lanka
1999,Sri Lanka,England,,,England
1999,India,South Africa,,,South Africa
1999,Kenya,Zimbabwe,,,Zimbabwe
1999,Kenya,England,,,England
1999,Zimbabwe,India,,,Zimbabwe
1999,South Africa,Sri Lanka,,,South Africa
1999,South Africa,England,,,South Africa
1999,Zimbabwe,Sri Lanka,,,Sri Lanka
1999,India,Kenya,,,India
1999,Zimbabwe,England,,,England
