Edition Year,Team 1,Team 2,Score 1,Score 2,Winner
1971,West Germany,Argentina,5,1,West Germany
1971,India,France,1,0,India
1971,Argentina,India,0,1,India
1971,France,Kenya,1,0,France
1971,France,West Germany,0,4,West Germany
1971,Kenya,India,0,2,India
1971,Argentina,France,0,1,France
1971,West Germany,Kenya,0,3,Kenya
1971,India,West Germany,1,0,India
1971,Kenya,Argentina,2,0,Kenya
1971,West Germany,Kenya,1,2,Kenya
1971,Spain,Japan,2,0,Spain
1971,Pakistan,Australia,5,2,Pakistan
1971,Netherlands,Spain,0,0,Draw
1971,Japan,Pakistan,0,1,Pakistan
1971,Pakistan,Netherlands,3,3,Draw
1971,Australia,Japan,1,1,Draw
1971,Netherlands,Australia,1,0,Netherlands
1971,Spain,Pakistan,3,2,Spain
1971,Australia,Spain,1,0,Australia
1971,Japan,Netherlands,1,0,Japan
1971,Argentina,Japan,0,2,Japan
1971,Netherlands,France,2,1,Netherlands
1971,West Germany,Australia,1,0,West Germany
1971,Australia,France,0,1,France
1971,West Germany,Netherlands,1,0,West Germany
1971,Spain,Kenya,1,0,Spain
1971,India,Pakistan,1,2,Pakistan
1971,India,Kenya,2,1,India
1971,Pakistan,Spain,1,0,Pakistan
1973,West Germany,New Zealand,2,1,West Germany
1973,Spain,Kenya,4,1,Spain
1973,India,Japan,5,0,India
1973,West Germany,India,0,0,Draw
1973,Japan,Kenya,2,2,Draw
1973,Spain,New Zealand,2,1,Spain
1973,New Zealand,Japan,8,1,New Zealand
1973,West Germany,Spain,1,0,West Germany
1973,India,Kenya,4,0,India
1973,India,New Zealand,1,1,Draw
1973,West Germany,Kenya,2,1,West Germany
1973,Spain,Japan,3,0,Spain
1973,Kenya,New Zealand,2,2,Draw
1973,India,Spain,2,0,India
1973,West Germany,Japan,1,0,West Germany
1973,England,Belgium,5,2,England
1973,Pakistan,Malaysia,4,2,Pakistan
1973,Netherlands,Argentina,0,0,Draw
1973,Belgium,Argentina,2,1,Belgium
1973,Netherlands,Pakistan,1,2,Pakistan
1973,England,Malaysia,1,2,Malaysia
1973,Malaysia,Argentina,1,1,Draw
1973,Netherlands,Belgium,4,1,Netherlands
1973,Pakistan,England,2,2,Draw
1973,Netherlands,Malaysia,4,0,Netherlands
1973,Pakistan,Belgium,2,0,Pakistan
1973,England,Argentina,0,0,Draw
1973,Pakistan,Argentina,6,0,Pakistan
1973,Netherlands,England,2,1,Netherlands
1973,Belgium,Malaysia,3,0,Belgium
1973,Kenya,Argentina,0,2,Argentina
1973,Malaysia,Japan,0,1,Japan
1973,Malaysia,Kenya,1,0,Malaysia
1973,Argentina,Japan,2,1,Argentina
1973,England,New Zealand,1,0,England
1973,Spain,Belgium,5,0,Spain
1973,New Zealand,Belgium,3,1,New Zealand
1973,Spain,England,3,0,Spain
1973,Netherlands,West Germany,4,2,Netherlands
1973,India,Pakistan,1,0,India
1973,West Germany,Pakistan,1,0,West Germany
1973,Netherlands,India,4,2,Netherlands
1975,Malaysia,New Zealand,0,0,Draw
1975,Pakistan,Poland,2,2,Draw
1975,Malaysia,Spain,0,0,Draw
1975,Netherlands,New Zealand,1,2,New Zealand
1975,Spain,Poland,4,1,Spain
1975,Netherlands,Pakistan,3,3,Draw
1975,Pakistan,New Zealand,2,0,Pakistan
1975,Malaysia,Poland,3,1,Malaysia
1975,Spain,New Zealand,1,0,Spain
1975,Netherlands,Spain,3,0,Netherlands
1975,New Zealand,Poland,3,2,New Zealand
1975,Pakistan,Malaysia,2,1,Pakistan
1975,Pakistan,Spain,5,0,Pakistan
1975,Poland,Netherlands,2,1,Poland
1975,Malaysia,Netherlands,2,1,Malaysia
1975,Australia,Ghana,9,0,Australia
1975,India,England,2,1,India
1975,West Germany,Argentina,4,2,West Germany
1975,Australia,England,1,3,England
1975,West Germany,Ghana,3,2,West Germany
1975,India,Australia,1,1,Draw
1975,Argentina,Ghana,2,1,Argentina
1975,Argentina,England,3,3,Draw
1975,India,Ghana,7,0,India
1975,Australia,West Germany,2,2,Draw
1975,West Germany,England,3,0,West Germany
1975,Argentina,India,2,1,Argentina
1975,Australia,Argentina,3,0,Australia
1975,India,West Germany,3,1,India
1975,England,Ghana,6,1,England
1975,Netherlands,Argentina,5,0,Netherlands
1975,Poland,Ghana,3,2,Poland
1975,Argentina,Ghana,6,0,Argentina
1975,Netherlands,Poland,3,1,Netherlands
1975,Australia,New Zealand,5,0,Australia
1975,England,Spain,5,4,England
1975,New Zealand,Spain,2,1,New Zealand
1975,Australia,England,3,1,Australia
1975,Pakistan,West Germany,5,1,Pakistan
1975,India,Malaysia,3,2,India
1975,West Germany,Malaysia,4,0,West Germany
1975,India,Pakistan,2,1,India
1978,West Germany,Poland,9,4,West Germany
1978,Australia,England,2,0,Australia
1978,Canada,India,3,1,Canada
1978,West Germany,Belgium,3,3,Draw
1978,England,Poland,3,0,England
1978,India,Australia,2,0,India
1978,Australia,Belgium,5,2,Australia
1978,England,Canada,3,3,Draw
1978,West Germany,India,7,0,West Germany
1978,Australia,Poland,4,1,Australia
1978,Australia,Canada,4,0,Australia
1978,India,England,1,1,Draw
1978,Poland,Belgium,7,4,Poland
1978,England,Belgium,0,1,Belgium
1978,Poland,Canada,2,1,Poland
1978,West Germany,Canada,4,3,West Germany
1978,Australia,West Germany,3,2,Australia
1978,India,Belgium,1,0,India
1978,Argentina,Ireland,2,1,Argentina
1978,Spain,Malaysia,1,0,Spain
1978,Pakistan,Ireland,9,0,Pakistan
1978,Netherlands,Italy,8,0,Netherlands
1978,Argentina,Malaysia,1,1,Draw
1978,Pakistan,Italy,7,0,Pakistan
1978,Spain,Ireland,1,0,Spain
1978,Netherlands,Malaysia,2,1,Netherlands
1978,Argentina,Italy,4,0,Argentina
1978,Pakistan,Netherlands,3,1,Pakistan
1978,Malaysia,Ireland,2,2,Draw
1978,Spain,Argentina,0,0,Draw
1978,Pakistan,Malaysia,3,0,Pakistan
1978,Ireland,Italy,3,0,Ireland
1978,Pakistan,Spain,2,1,Pakistan
1978,Malaysia,Italy,3,1,Malaysia
1978,Netherlands,Argentina,3,2,Netherlands
1978,Spain,Italy,3,0,Spain
1978,Netherlands,Ireland,5,2,Netherlands
1978,Pakistan,Argentina,5,0,Pakistan
1978,Italy,Belgium,2,1,Italy
1978,Poland,Ireland,1,1,Draw
1978,Malaysia,Canada,2,0,Malaysia
1978,Canada,Ireland,3,1,Canada
1978,Poland,Malaysia,1,0,Poland
1978,India,Argentina,3,2,India
1978,Spain,England,2,1,Spain
1978,England,Argentina,3,1,England
1978,Spain,India,2,0,Spain
1978,Netherlands,Australia,3,2,Netherlands
1978,Pakistan,West Germany,1,0,Pakistan
1978,Australia,West Germany,4,3,Australia
1978,Pakistan,Netherlands,3,2,Pakistan
1982,New Zealand,Spain,2,0,New Zealand
1982,Pakistan,Argentina,6,1,Pakistan
1982,West Germany,Poland,5,3,West Germany
1982,West Germany,New Zealand,2,1,West Germany
1982,Pakistan,Spain,4,1,Pakistan
1982,Poland,Argentina,2,1,Poland
1982,Pakistan,New Zealand,12,3,Pakistan
1982,Spain,Poland,0,1,Poland
1982,West Germany,Argentina,2,0,West Germany
1982,Pakistan,West Germany,5,3,Pakistan
1982,Argentina,New Zealand,5,3,Argentina
1982,Poland,New Zealand,0,1,New Zealand
1982,Spain,Argentina,4,2,Spain
1982,Pakistan,Poland,4,1,Pakistan
1982,Spain,West Germany,1,1,Draw
1982,India,Malaysia,6,2,India
1982,Netherlands,England,6,2,Netherlands
1982,Australia,Soviet Union,3,2,Australia
1982,Netherlands,India,4,3,Netherlands
1982,Australia,Malaysia,3,0,Australia
1982,Netherlands,Malaysia,3,1,Netherlands
1982,England,Soviet Union,1,1,Draw
1982,Australia,England,2,0,Australia
1982,India,Soviet Union,7,2,India
1982,Netherlands,Australia,2,3,Australia
1982,England,Malaysia,1,0,England
1982,Malaysia,Soviet Union,2,2,Draw
1982,India,England,4,2,India
1982,Netherlands,Soviet Union,2,2,Draw
1982,Australia,India,2,1,Australia
1982,England,Argentina,1,0,England
1982,Spain,Malaysia,2,4,Malaysia
1982,Spain,Argentina,3,0,Spain
1982,England,Malaysia,3,2,England
