Year,Score 1,Score 2,Player 1,Player 2,Winner
1989,Netherlands,Denmark,4,2,Netherlands
1989,Paraguay,Algeria,5,0,Paraguay
1989,Denmark,Paraguay,2,2,Draw
1989,Netherlands,Algeria,4,1,Netherlands
1989,Denmark,Algeria,8,4,Denmark
1989,Netherlands,Paraguay,2,2,Draw
1989,Hungary,Brazil,3,2,Hungary
1989,Saudi Arabia,Spain,2,8,Spain
1989,Brazil,Saudi Arabia,8,0,Brazil
1989,Hungary,Spain,3,5,Spain
1989,Hungary,Saudi Arabia,11,2,Hungary
1989,Brazil,Spain,4,1,Brazil
1989,Japan,Belgium,0,3,Belgium
1989,Canada,Argentina,1,3,Argentina
1989,Belgium,Canada,2,0,Belgium
1989,Japan,Argentina,1,2,Argentina
1989,Japan,Canada,2,6,Canada
1989,Belgium,Argentina,3,1,Belgium
1989,Italy,Zimbabwe,5,1,Italy
1989,United States,Australia,1,1,Draw
1989,Zimbabwe,United States,1,5,United States
1989,Italy,Australia,6,1,Italy
1989,Zimbabwe,Australia,1,4,Australia
1989,Italy,United States,1,4,United States
1989,Netherlands,Hungary,3,3,Draw
1989,Belgium,Italy,5,1,Belgium
1989,Hungary,Belgium,2,2,Draw
1989,Netherlands,Italy,4,1,Netherlands
1989,Netherlands,Belgium,1,2,Belgium
1989,Hungary,Italy,1,3,Italy
1989,Brazil,Paraguay,5,1,Brazil
1989,United States,Argentina,3,1,United States
1989,Paraguay,United States,0,2,United States
1989,Brazil,Argentina,6,3,Brazil
1989,Brazil,United States,3,5,United States
1989,Paraguay,Argentina,4,3,Paraguay
1989,Belgium,Brazil,3,5,Brazil
1989,United States,Netherlands,1,2,Netherlands
1989,Belgium,United States,2,3,United States
1989,Brazil,Netherlands,2,1,Brazil
1992,Poland,Hong Kong,4,2,Poland
1992,Argentina,Nigeria,6,2,Argentina
1992,Argentina,Hong Kong,2,1,Argentina
1992,Poland,Nigeria,5,4,Poland
1992,Hong Kong,Nigeria,4,1,Hong Kong
1992,Argentina,Poland,3,2,Argentina
1992,Netherlands,Iran,2,1,Netherlands
1992,Italy,Paraguay,7,5,Italy
1992,Iran,Italy,7,5,Iran
1992,Paraguay,Netherlands,3,1,Paraguay
1992,Netherlands,Italy,4,3,Netherlands
1992,Iran,Paraguay,10,6,Iran
1992,Brazil,Australia,3,0,Brazil
1992,Belgium,Costa Rica,6,2,Belgium
1992,Brazil,Costa Rica,15,1,Brazil
1992,Belgium,Australia,2,1,Belgium
1992,Australia,Costa Rica,8,6,Australia
1992,Brazil,Belgium,5,0,Brazil
1992,Spain,China,6,5,Spain
1992,United States,Russia,8,3,United States
1992,Russia,China,10,1,Russia
1992,Spain,United States,5,3,Spain
1992,Spain,Russia,7,7,Draw
1992,United States,China,7,1,United States
1992,Brazil,United States,2,2,Draw
1992,Netherlands,Argentina,4,1,Netherlands
1992,Brazil,Argentina,5,1,Brazil
1992,United States,Netherlands,3,3,Draw
1992,United States,Argentina,6,3,United States
1992,Brazil,Netherlands,6,1,Brazil
1992,Iran,Poland,2,0,Iran
1992,Spain,Belgium,5,3,Spain
1992,Iran,Spain,4,2,Iran
1992,Belgium,Poland,4,1,Belgium
1992,Iran,Belgium,4,2,Iran
1992,Spain,Poland,7,3,Spain
1992,Brazil,Spain,4,1,Brazil
1992,Iran,United States,2,4,United States
1992,Iran,Spain,6,9,Spain
1992,Brazil,United States,4,1,Brazil
1996,Spain,Egypt,7,2,Spain
1996,Ukraine,Australia,11,2,Ukraine
1996,Egypt,Australia,8,2,Egypt
1996,Spain,Ukraine,4,1,Spain
1996,Ukraine,Egypt,10,3,Ukraine
1996,Spain,Australia,7,0,Spain
1996,Argentina,China,2,1,Argentina
1996,Netherlands,Russia,2,2,Draw
1996,Argentina,Russia,2,2,Draw
1996,Netherlands,China,5,1,Netherlands
