Edition Year,Team 1,Team 2,Score 1,Score 2,Winner
1976,Soviet Union,Japan,26,16,Soviet Union
1976,Yugoslavia,Canada,22,18,Yugoslavia
1976,West Germany,Denmark,18,14,West Germany
1976,West Germany,Japan,19,16,West Germany
1976,Yugoslavia,Denmark,25,17,Yugoslavia
1976,Soviet Union,Canada,25,9,Soviet Union
1976,Yugoslavia,Soviet Union,20,18,Yugoslavia
1976,West Germany,Canada,26,11,West Germany
1976,Denmark,Japan,21,17,Denmark
1976,Denmark,Canada,24,18,Denmark
1976,West Germany,Soviet Union,16,18,Soviet Union
1976,Yugoslavia,Japan,26,22,Yugoslavia
1976,West Germany,Yugoslavia,18,17,West Germany
1976,Japan,Canada,25,19,Japan
1976,Soviet Union,Denmark,24,16,Soviet Union
1976,Romania,Hungary,23,18,Romania
1976,Czechoslovakia,United States,28,20,Czechoslovakia
1976,Poland,Tunisia,26,12,Poland
1976,Czechoslovakia,Tunisia,21,9,Czechoslovakia
1976,Romania,United States,32,19,Romania
1976,Poland,Hungary,18,16,Poland
1976,Hungary,United States,36,21,Hungary
1976,Poland,Czechoslovakia,21,18,Poland
1976,Poland,United States,26,20,Poland
1976,Romania,Czechoslovakia,19,19,Draw
1976,Czechoslovakia,Hungary,20,22,Hungary
1976,Romania,Poland,17,15,Romania
1976,Japan,United States,27,20,Japan
1976,Denmark,Czechoslovakia,21,25,Czechoslovakia
1976,Yugoslavia,Hungary,21,19,Yugoslavia
1976,West Germany,Poland,18,21,Poland
1976,Soviet Union,Romania,19,15,Soviet Union
1980,Denmark, Cuba,30,18,Denmark
1980,Poland , Hungary,22,18,Poland 
1980,East Germany , Spain,18,14,East Germany 
1980,Poland , Cuba,19,16,Poland 
1980,Denmark, Spain,25,17,Denmark
1980,East Germany , Hungary,25,9,East Germany 
1980,Spain , Hungary,20,18,Spain 
1980,Denmark, Poland,26,11,Denmark
1980,East Germany , Cuba,21,17,East Germany 
1980,Spain , Cuba,24,18,Spain 
1980,Denmark, Hungary,16,18, Hungary
1980,East Germany , Poland,26,22,East Germany 
1980,Hungary , Cuba,18,17,Hungary 
1980,Poland , Spain,25,19,Poland 
1980,East Germany ,Denmark,24,16,East Germany 
1980,Yugoslavia , Algeria,23,18,Yugoslavia 
1980,Romania , Kuwait,28,20,Romania 
1980,Soviet Union ,Switzerland,26,12,Soviet Union 
1980,Romania , Algeria,21,9,Romania 
1980,Soviet Union , Kuwait,32,19,Soviet Union 
1980,Yugoslavia ,Switzerland,18,16,Yugoslavia 
1980,Switzerland, Kuwait,36,21,Switzerland
1980,Soviet Union , Algeria,21,18,Soviet Union 
1980,Yugoslavia , Romania,26,20,Yugoslavia 
1980,Spain , Algeria,19,19, Algeria
1980,Yugoslavia , Kuwait,20,22, Kuwait
1980,Soviet Union , Romania,17,15,Soviet Union 
1980,Kuwait , Algeria,27,20,Kuwait 
1980,Romania ,Switzerland,21,25,Switzerland
1980,Soviet Union , Yugoslavia,21,19,Soviet Union 
1980,Cuba , Kuwait,18,21, Kuwait
1980,Denmark, Algeria,19,15,Denmark
1980,Poland ,Switzerland,20,16,Poland 
1980,Spain , Yugoslavia,21,17,Spain 
1980,Hungary , Romania,22,18,Hungary 
1980,East Germany , Soviet Union,23,19,East Germany 
1984,Soviet Union,Japan,26,16,Soviet Union
1984,Yugoslavia,Canada,22,18,Yugoslavia
1984,West Germany,Denmark,18,14,West Germany
1984,West Germany,Japan,19,16,West Germany
1984,Yugoslavia,Denmark,25,17,Yugoslavia
1984,Soviet Union,Canada,25,9,Soviet Union
1984,Yugoslavia,Soviet Union,20,18,Yugoslavia
1984,West Germany,Canada,26,11,West Germany
1984,Denmark,Japan,21,17,Denmark
1984,Denmark,Canada,24,18,Denmark
