Edition Year,Team 1,Team 2,Score 1,Score 2,Winner
1924,Sweden,Switzerland,9,0,Sweden
1924,Canada,Czechoslovakia,30,0,Canada
1924,Canada,Sweden,22,0,Canada
1924,Canada,Switzerland,33,0,Canada
1924,Sweden,Czechoslovakia,9,3,Sweden
1924,Czechoslovakia,Switzerland,11,2,Czechoslovakia
1924,United States,Belgium,19,0,United States
1924,Great Britain,France,15,2,Great Britain
1924,Great Britain,Belgium,19,3,Great Britain
1924,United States,France,22,0,United States
1924,France,Belgium,7,5,France
1924,United States,Great Britain,11,0,United States
1924,Canada,Great Britain,19,2,Canada
1924,United States,Sweden,20,0,United States
1924,Great Britain,Sweden,4,3,Great Britain
1924,Canada,United States,6,1,Canada
1928,France,Great Britain,3,2,France
1928,Belgium,Hungary,3,2,Belgium
1928,Belgium,France,3,1,Belgium
1928,Great Britain,Hungary,1,0,Great Britain
1928,Sweden,Czechoslovakia,3,0,Sweden
1928,Sweden,Poland,2,2,Draw
1928,Czechoslovakia,Poland,3,2,Czechoslovakia
1928,Switzerland,Austria,4,4,Draw
1928,Austria,Germany,0,0,Draw
1928,Switzerland,Germany,1,0,Switzerland
1928,Canada,Sweden,11,0,Canada
1928,Switzerland,Great Britain,4,0,Switzerland
1928,Canada,Great Britain,14,0,Canada
1928,Sweden,Switzerland,4,0,Sweden
1928,Sweden,Great Britain,3,1,Sweden
1928,Canada,Switzerland,13,0,Canada
1932,Canada,United States,2,1,Canada
1932,Germany,Poland,2,1,Germany
1932,United States,Poland,4,1,United States
1932,Canada,Germany,4,1,Canada
1932,Canada,Poland,9,0,Canada
1932,United States,Germany,7,0,United States
1932,United States,Poland,5,0,United States
1932,Canada,Germany,5,0,Canada
1932,Canada,Poland,10,0,Canada
1932,United States,Germany,8,0,United States
1932,Germany,Poland,4,1,Germany
1932,Canada,United States,2,2,Draw
1936,Canada,Poland,8,1,Canada
1936,Canada,Latvia,11,0,Canada
1936,Austria,Poland,2,1,Austria
1936,Canada,Austria,5,2,Canada
1936,Poland,Latvia,9,2,Poland
1936,Austria,Latvia,7,1,Austria
1936,Germany,United States,0,1,United States
1936,United States,Switzerland,3,0,United States
1936,Germany,Italy,3,0,Germany
1936,Germany,Switzerland,2,0,Germany
1936,United States,Italy,1,2,Italy
1936,Switzerland,Italy,1,0,Switzerland
1936,Hungary,Belgium,11,2,Belgium
1936,Czechoslovakia,Belgium,5,0,Czechoslovakia
1936,Hungary,France,3,0,Hungary
1936,Czechoslovakia,Hungary,3,0,Czechoslovakia
1936,France,Belgium,4,2,France
1936,Czechoslovakia,France,2,0,Czechoslovakia
1936,Great Britain,Sweden,1,0,GreatBritain
1936,Great Britain,Japan,3,0,GreatBritain
1936,Sweden,Japan,2,0,Sweden
1936,Germany,Hungary,2,1,Germany
1936,Great Britain,Canada,2,1,GreatBritain
1936,Germany,GreatBritain,1,1,GreatBritain
1936,Canada,Hungary,15,0,Canada
1936,Great Britain,Hungary,5,1,GreatBritain
1936,Germany,Canada,2,6,Canada
1936,United States,Czechoslovakia,2,0,United States
1936,Sweden,Austria,1,0,Sweden
1936,United States,Austria,1,0,United States
1936,Czechoslovakia,Sweden,4,1,Czechoslovakia
1936,United States,Sweden,2,1,United States
1936,Czechoslovakia,Austria,2,1,Czechoslovakia
1936,Great Britain,Canada,2,1,GreatBritain
1936,United States,Czechoslovakia,2,0,United States
1936,Great Britain,Czechoslovakia,5,0,GreatBritain
1936,Canada,Czechoslovakia,7,0,Canada
1936,Great Britain,United States,0,0,United States
1936,Canada,United States,1,0,Canada
1948,Switzerland,USA,5,4,Switzerland
1948,Canada,Sweden,3,1,Canada
1948,Poland,Austria,7,5,Poland
1948,Czechoslovakia,Italy,22,3,Czechoslovakia
1948,USA,Poland,23,4,USA
1948,Czechoslovakia,Sweden,6,3,Czechoslovakia
1948,Switzerland,Italy,16,0,Switzerland
1948,United Kingdom,Austria,5,4,United Kingdom
1948,Canada,United Kingdom,3,0,Canada
1948,USA,Italy,31,1,USA
1948,Switzerland,Austria,11,2,Switzerland
1948,Czechoslovakia,Poland,13,1,Czechoslovakia
1948,Sweden,Austria,7,1,Sweden
1948,Canada,Poland,15,0,Canada
1948,Czechoslovakia,United Kingdom,11,4,Czechoslovakia
1948,Canada,Italy,21,1,Canada
1948,USA,Sweden,5,2,USA
1948,Czechoslovakia,Austria,17,3,Czechoslovakia
1948,Poland,Italy,13,7,Poland
1948,Switzerland,United Kingdom,12,3,Switzerland
1948,Austria,Italy,16,5,Austria
1948,United Kingdom,Poland,7,2,United Kingdom
1948,Switzerland,Sweden,8,2,Switzerland
1948,Canada,USA,12,3,Canada
1948,Switzerland,Poland,14,0,Switzerland
1948,Canada,Czechoslovakia,0,0,Draw
1948,Sweden,United Kingdom,4,3,Sweden
1948,USA,Austria,13,2,USA
1948,USA,United Kingdom,4,3,USA
1948,Czechoslovakia,Switzerland,7,1,Czechoslovakia
1948,Canada,Austria,12,0,Canada
1948,Sweden,Italy,23,0,Sweden
1948,United Kingdom,Italy,14,7,United Kingdom
1948,Czechoslovakia,USA,4,3,Czechoslovakia
1948,Canada,Switzerland,3,0,Canada
1948,Sweden,Poland,13,2,Sweden
1952,United States,Norway,3,2,United States
1952,Sweden,Finland,9,2,Sweden
1952,Czechoslovakia,Poland,8,2,Czechoslovakia
1952,Canada,Germany,15,1,Canada
1952,Switzerland,Finland,12,0,Switzerland
1952,Czechoslovakia,Norway,6,0,Czechoslovakia
1952,United States,Germany,8,2,United States
1952,Sweden,Poland,17,1,Sweden
1952,Sweden,Norway,4,2,Sweden
1952,Switzerland,Poland,6,3,Switzerland
1952,Canada,Finland,13,3,Canada
1952,Czechoslovakia,Germany,6,1,Czechoslovakia
1952,United States,Finland,8,2,United States
1952,Canada,Poland,11,0,Canada
1952,Switzerland,Norway,7,2,Switzerland
1952,Sweden,Germany,7,3,Sweden
1952,Canada,Czechoslovakia,4,1,Canada
1952,United States,Switzerland,8,2,United States
1952,Poland,Germany,4,4,Draw
1952,Finland,Norway,5,2,Finland
1952,Sweden,United States,4,2,Sweden
1952,Canada,Switzerland,11,2,Canada
1952,Czechoslovakia,Finland,11,2,Czechoslovakia
1952,Germany,Norway,6,2,Germany
1952,Finland,Germany,5,1,Finland
1952,Czechoslovakia,Switzerland,8,3,Czechoslovakia
1952,United States,Poland,5,3,United States
1952,Canada,Sweden,3,2,Canada
1952,Sweden,Switzerland,5,2,Sweden
1952,Canada,Norway,11,2,Canada
1952,Poland,Finland,4,2,Poland
1952,United States,Czechoslovakia,6,3,United States
1952,Switzerland,Germany,6,3,Switzerland
1952,Czechoslovakia,Sweden,4,0,Czechoslovakia
1952,Canada,United States,3,3,Draw
1952,Poland,Norway,4,3,Poland
1956,Canada,Germany,4,0,Canada
1956,Italy,Austria,2,2,Draw
1956,Italy,Germany,2,2,Draw
1956,Canada,Austria,23,0,Canada
1956,Germany,Austria,7,0,Germany
1956,Italy,Canada,1,3,Canada
1956,Czechoslovakia,USA,4,3,Czechoslovakia
1956,USA,Poland,4,0,USA
1956,Czechoslovakia,Poland,8,3,Czechoslovakia
1956,Soviet Union,Sweden,5,1,Soviet Union
1956,Sweden,Switzerland,6,5,Sweden
1956,Soviet Union,Switzerland,10,3,Soviet Union
1956,USA,Germany,7,2,USA
1956,Canada,Czechoslovakia,6,3,Canada
1956,Soviet Union,Sweden,4,1,Soviet Union
1956,Soviet Union,Germany,8,0,Soviet Union
1956,Sweden,Czechoslovakia,5,0,Sweden
1956,USA,Canada,4,1,USA
1956,USA,Sweden,6,1,USA
1956,Canada,Germany,10,0,Canada
1956,Soviet Union,Czechoslovakia,7,4,Soviet Union
1956,Czechoslovakia,Germany,9,3,Czechoslovakia
1956,Canada,Sweden,6,2,Canada
1956,Soviet Union,USA,4,0,Soviet Union
1956,Soviet Union,Canada,2,0,Soviet Union
1956,Germany,Sweden,1,1,Draw
1956,USA,Czechoslovakia,9,4,USA
1956,Switzerland,Austria,7,4,Switzerland
1956,Poland,Switzerland,6,2,Poland
1956,Italy,Austria,8,2,Italy
1956,Italy,Switzerland,8,3,Italy
1956,Poland,Austria,4,3,Poland
1956,Italy,Poland,5,2,Italy
1956,East Germany,Norway,4,1,East Germany
1956,East Germany,Belgium,14,7,East Germany
1956,Norway,Belgium,7,5,Norway
1960,Canada,Sweden,5,2,Canada
1960,Canada,Japan,19,1,Canada
1960,Sweden,Japan,19,0,Sweden
1960,Soviet Union,Germany,8,0,Soviet Union
1960,Soviet Union,Finland,8,4,Soviet Union
1960,Germany,Finland,4,1,Germany
1960,United States,Czechoslovakia,7,5,United States
1960,Czechoslovakia,Australia,18,1,Czechoslovakia
1960,United States,Australia,12,1,United States
1960,Australia,Finland,1,14,Finland
1960,Finland,Japan,6,6,Draw
1960,Australia,Japan,2,13,Japan
1960,Australia,Finland,2,19,Finland
1960,Finland,Japan,11,2,Finland
1960,Japan,Australia,11,3,Japan
1960,Soviet Union,Czechoslovakia,8,5,Soviet Union
1960,United States,Sweden,6,3,United States
1960,Canada,Germany,12,0,Canada
1960,United States,Germany,9,1,United States
1960,Soviet Union,Sweden,2,2,Draw
1960,Canada,Czechoslovakia,4,0,Canada
1960,Soviet Union,Germany,7,1,Soviet Union
1960,United States,Canada,2,1,United States
