Year,Score 1,Score 2,Player 1,Player 2,Winner
1974,Canada,Australia,18,14,Canada
1974,United States,England,24,10,United States
1974,United States,Canada,26,15,United States
1974,Australia,England,15,3,Australia
1974,United States,Australia,20,14,United States
1974,England,Canada,19,11,England
1978,Canada,England,21,15,Canada
1978,United States,Australia,22,17,United States
1978,United States,Canada,28,4,United States
1978,England,Australia,45,15,England
1978,United States,England,45,71,England
1978,Canada,Australia,16,13,Canada
1982,England,Australia,5,71,Australia
1982,United States,Canada,23,12,United States
1982,Canada,England,26,8,Canada
1982,United States,Australia,23,10,United States
1982,United States,England,26,9,United States
1982,Canada,Australia,18,24,Australia
1986,England,Canada,12,15,Canada
1986,Canada,United States,11,21,United States
1986,Australia,England,47,45,Australia
1986,Australia,United States,12,18,United States
1986,England,United States,8,32,United States
1986,Australia,Canada,14,17,Canada
1990,United States,Australia,21,9,United States
1990,Canada,Iroquois Nationals,18,15,Canada
1990,United States,Iroquois Nationals,26,10,United States
1990,Canada,England,30,14,Canada
1990,United States,Canada,25,14,United States
1990,England,Australia,7,24,Australia
1990,United States,England,21,8,United States
1990,Australia,Iroquois Nationals,23,7,Australia
1990,Australia,Canada,17,26,Canada
1990,England,Iroquois Nationals,15,12,England
1994,Australia,Iroquois Nationals,26,11,Australia
1994,Canada,England,19,13,Canada
1994,United States,Japan,33,2,United States
1994,Australia,England,28,7,Australia
1994,United States,Canada,16,10,United States
1994,Japan,Iroquois Nationals,2,16,Iroquois Nationals
1994,England,Iroquois Nationals,19,6,England
1994,Canada,Japan,33,7,Canada
1994,United States,Australia,14,12,United States
1994,England,Japan,20,1,England
1994,United States,Iroquois Nationals,26,6,United States
1994,Australia,Canada,11,19,Canada
1994,United States,England,15,4,United States
1994,Australia,Japan,26,6,Australia
1994,Canada,Iroquois Nationals,20,16,Canada
1998,United States,Iroquois,20,8,United States
1998,Canada,England,18,9,Canada
1998,Iroquois,England,10,9,Iroquois
1998,Australia,Canada,9,12,Canada
1998,Canada,Iroquois,23,8,Canada
1998,England,Australia,6,1,England
1998,United States,Canada,14,2,United States
1998,United States,Australia,13,10,United States
1998,Australia,Iroquois,13,9,Australia
1998,United States,England,16,8,United States
1998,Scotland,Wales,14,9,Scotland
1998,Japan,Sweden,10,3,Japan
1998,Germany,Czech Republic,14,10,Germany
1998,Japan,Germany,11,4,Japan
1998,Czech Republic,Scotland,14,15,Scotland
1998,Wales,Sweden,6,7,Sweden
1998,Germany,Wales,16,9,Germany
1998,Scotland,Sweden,13,7,Scotland
1998,Czech Republic,Japan,3,11,Japan
1998,Japan,Scotland,10,7,Japan
1998,Czech Republic,Wales,8,6,Czech Republic
1998,Germany,Sweden,13,10,Germany
1998,Sweden,Czech Republic,9,8,Sweden
1998,Germany,Scotland,12,10,Germany
1998,Japan,Wales,15,2,Japan
1998,United States,Iroquois,24,4,United States
1998,Canada,Australia,15,14,Canada
1998,United States,Canada,15,14,United States
2002,United States,Iroquois,22,6,United States
2002,Canada,England,13,9,Canada
2002,Iroquois,England,17,9,Iroquois
2002,Australia,United States,7,22,United States
2002,Canada,Iroquois,20,8,Canada
2002,England,Australia,8,19,Australia
2002,United States,Canada,14,9,United States
2002,Australia,Iroquois,19,5,Australia
2002,Canada,Australia,14,12,Canada
2002,United States,England,21,3,United States
2002,Scotland,Wales,14,7,Scotland
2002,Japan,Sweden,19,4,Japan
2002,Germany,Czech Republic,11,7,Germany
2002,Japan,Germany,11,5,Japan
2002,Czech Republic,Scotland,8,9,Scotland
2002,Wales,Sweden,8,10,Sweden
2002,Germany,Wales,11,8,Germany
2002,Scotland,Sweden,10,5,Scotland
2002,Czech Republic,Japan,5,16,Japan
2002,Japan,Scotland,10,8,Japan
2002,Czech Republic,Wales,16,5,Czech Republic
2002,Germany,Sweden,14,10,Germany
2002,Sweden,Czech Republic,7,5,Sweden
2002,Germany,Scotland,15,9,Germany
2002,Japan,Wales,21,8,Japan
2002,Ireland,Hong Kong,16,1,Ireland
2002,South,New Zealand,23,2,South
2002,Ireland,South Korea,14,5,Ireland
2002,Hong Kong,New Zealand,8,9,New Zealand
2002,Ireland,New Zealand,19,3,Ireland
2002,Hong Kong,South Korea,3,19,South Korea
2002,South Africa,New Zealand,20,3,South Africa
2002,Ireland,Hong Kong,15,0,Ireland
2002,Ireland,South Korea,16,3,Ireland
2002,Hong Kong,New Zealand,9,5,Hong Kong
2002,United States,Iroquois,18,8,United States
2002,Canada,Australia,15,14,Canada
2002,United States,Canada,18,15,United States
2006,Iroquois,England,13,10,Iroquois
2006,United States,Australia,20,8,United States
2006,Canada,Japan,18,7,Canada
2006,United States,England,25,5,United States
2006,Canada,Iroquois,12,8,Canada
2006,Australia,Japan,18,1,Australia
2006,Australia,England,16,3,Australia
2006,United States,Canada,13,12,United States
2006,Iroquois,Japan,13,11,Iroquois
2006,England,Japan,9,8,England
2006,United States,Iroquois,21,13,United States
