Year,Score 1,Score 2,Player 1,Player 2,Winner
1987,Australia,England,19,6,Australia
1987,England,Japan,60,7,England
1987,Australia,United States,47,12,Australia
1987,England,United States,34,6,England
1987,Australia,Japan,42,23,Australia
1987,Canada,Tonga,37,4,Canada
1987,Ireland,Wales,6,13,Wales
1987,Tonga,Wales,16,29,Wales
1987,Canada,Ireland,19,46,Ireland
1987,Canada,Wales,9,40,Wales
1987,Ireland,Tonga,32,9,Ireland
1987,New Zealand,Italy,70,6,New Zealand
1987,Argentina,Fiji,9,28,Fiji
1987,New Zealand,Fiji,74,13,New Zealand
1987,Argentina,Italy,25,16,Argentina
1987,Fiji,Italy,15,18,Italy
1987,New Zealand,Argentina,46,15,New Zealand
1987,Romania,Zimbabwe,21,20,Romania
1987,France,Scotland,20,20,Draw
1987,France,Romania,55,12,France
1987,Scotland,Zimbabwe,60,21,Scotland
1987,Romania,Scotland,28,55,Scotland
1987,France,Zimbabwe,70,12,France
1987,New Zealand,Scotland,30,3,New Zealand
1987,Australia,Ireland,33,15,Australia
1987,Fiji,France,16,31,France
1987,England,Wales,3,16,Wales
1987,Australia,France,24,30,France
1987,New Zealand,Wales,49,6,New Zealand
1987,Australia,Wales,21,22,Wales
1987,New Zealand,France,29,9,New Zealand
1991,England,New Zealand,12,18,New Zealand
1991,Italy,United States,30,9,Italy
1991,New Zealand,United States,46,6,New Zealand
1991,England,Italy,36,6,England
1991,England,United States,37,9,England
1991,Italy,New Zealand,21,31,New Zealand
1991,Scotland,Japan,47,9,Scotland
1991,Ireland,Zimbabwe,55,11,Ireland
1991,Ireland,Japan,32,16,Ireland
1991,Scotland,Zimbabwe,51,12,Scotland
1991,Scotland,Ireland,24,15,Scotland
1991,Japan,Zimbabwe,52,8,Japan
1991,Argentina,Australia,19,32,Australia
1991,Wales,Western Samoa,13,16,Western Samoa
1991,Australia,Western Samoa,9,3,Australia
1991,Wales,Argentina,16,7,Wales
1991,Wales,Australia,3,38,Australia
1991,Argentina,Western Samoa,12,35,Western Samoa
1991,France,Romania,30,3,France
1991,Canada,Fiji,13,3,Canada
1991,France,Fiji,33,9,France
1991,Canada,Romania,19,11,Canada
1991,Fiji,Romania,15,17,Romania
1991,France,Canada,19,13,France
1991,France,England,10,19,England
1991,Scotland,Western Samoa,28,6,Scotland
1991,Ireland,Australia,18,19,Australia
1991,Canada,New Zealand,13,29,New Zealand
1991,Scotland,England,6,9,England
1991,Australia,New Zealand,16,6,Australia
1991,New Zealand,Scotland,13,6,New Zealand
1991,Australia,England,12,6,Australia
1995,South Africa,Australia,27,18,South Africa
1995,Canada,Romania,34,3,Canada
1995,South Africa,Romania,21,8,South Africa
1995,Australia,Canada,27,11,Australia
1995,Australia,Romania,42,3,Australia
1995,South Africa,Canada,20,0,South Africa
1995,Italy,Western Samoa,18,42,Western Samoa
1995,Argentina,England,18,24,England
1995,Western Samoa,Argentina,32,26,Western Samoa
1995,England,Italy,27,20,England
1995,Argentina,Italy,25,31,Italy
1995,England,Western Samoa,44,22,England
1995,Japan,Wales,10,57,Wales
1995,Ireland,New Zealand,19,43,New Zealand
1995,Ireland,Japan,50,28,Ireland
1995,New Zealand,Wales,34,9,New Zealand
1995,Japan,New Zealand,17,145,New Zealand
1995,Ireland,Wales,24,23,Ireland
1995,Ivory Coast,Scotland,0,89,Scotland
1995,France,Tonga,38,10,France
1995,France,Ivory Coast,54,18,France
1995,Scotland,Tonga,41,5,Scotland
1995,Ivory Coast,Tonga,11,29,Tonga
1995,France,Ireland,36,12,France
1995,South Africa,Western Samoa,42,14,South Africa
1995,England,Australia,25,22,England
1995,New Zealand,Scotland,48,30,New Zealand
1995,South Africa,France,19,15,South Africa
1995,England,New Zealand,29,45,New Zealand
1995,France,England,19,9,France
1995,South Africa,New Zealand,15,12,South Africa
1999,Spain,Uruguay,15,27,Uruguay
1999,Scotland,South Africa,29,46,South Africa
1999,Scotland,Uruguay,43,12,Scotland
1999,South Africa,Spain,47,3,South Africa
1999,South Africa,Uruguay,39,3,South Africa
1999,Scotland,Spain,48,0,Scotland
1999,England,Italy,67,7,England
1999,New Zealand,Tonga,45,9,New Zealand
1999,England,New Zealand,16,30,New Zealand
1999,Italy,Tonga,25,28,Tonga
1999,New Zealand,Italy,101,3,New Zealand
1999,England,Tonga,101,10,England
1999,Fiji,Namibia,67,18,Fiji
1999,France,Canada,33,20,France
1999,France,Namibia,47,13,France
1999,Fiji,Canada,38,22,Fiji
1999,Canada,Namibia,72,11,Canada
1999,France,Fiji,28,19,France
1999,Wales,Argentina,23,18,Wales
1999,Samoa,Japan,43,9,Samoa
1999,Wales,Japan,64,15,Wales
1999,Argentina,Samoa,32,16,Argentina
1999,Wales,Samoa,31,38,Samoa
1999,Argentina,Japan,33,12,Argentina
1999,Ireland,United States,53,8,Ireland
1999,Australia,Romania,57,9,Australia
1999,United States,Romania,25,27,Romania
1999,Ireland,Australia,3,23,Australia
1999,Australia,United States,55,19,Australia
1999,Ireland,Romania,44,14,Ireland
1999,England,Fiji,45,24,England
1999,Scotland,Samoa,35,20,Scotland
1999,Argentina,Ireland,28,24,Argentina
1999,Wales,Australia,9,24,Australia
1999,South Africa,England,44,21,South Africa
1999,Scotland,New Zealand,18,30,New Zealand
1999,Argentina,France,26,47,France
1999,Australia,South Africa,27,21,Australia
1999,France,New Zealand,43,31,France
1999,New Zealand,South Africa,18,22,South Africa
1999,Australia,France,35,12,Australia
2003,Australia,Argentina,24,8,Australia
2003,Ireland,Romania,45,17,Ireland
