Year,Score 1,Score 2,Player 1,Player 2,Winner
1930,France,Mexico,4,1,France
1930,USA,Belgium,3,0,USA
1930,Yugoslavia,Brazil,2,1,Yugoslavia
1930,Romania,Peru,3,1,Romania
1930,Argentina,France,1,0,Argentina
1930,Chile,Mexico,3,0,Chile
1930,Yugoslavia,Bolivia,4,0,Yugoslavia
1930,USA,Paraguay,3,0,USA
1930,Uruguay,Peru,1,0,Uruguay
1930,Chile,France,1,0,Chile
1930,Argentina,Mexico,6,3,Argentina
1930,Brazil,Bolivia,4,0,Brazil
1930,Paraguay,Belgium,1,0,Paraguay
1930,Uruguay,Romania,4,0,Uruguay
1930,Argentina,Chile,3,1,Argentina
1930,Argentina,USA,6,1,Argentina
1930,Uruguay,Yugoslavia,6,1,Uruguay
1930,Uruguay,Argentina,4,2,Uruguay
1934,Austria,France,3,2,Austria
1934,Hungary,Egypt,4,2,Hungary
1934,Switzerland,Netherlands,3,2,Switzerland
1934,Sweden,Argentina,3,2,Sweden
1934,Germany,Belgium,5,2,Germany
1934,Spain,Brazil,3,1,Spain
1934,Italy,USA,7,1,Italy
1934,Czechoslovakia,Romania,2,1,Czechoslovakia
1934,Czechoslovakia,Switzerland,3,2,Czechoslovakia
1934,Germany,Sweden,2,1,Germany
1934,Italy,Spain,1,1,Draw
1934,Austria,Hungary,2,1,Austria
1934,Italy,Spain,1,0,Italy
1934,Italy,Austria,1,0,Italy
1934,Czechoslovakia,Germany,3,1,Czechoslovakia
1934,Germany,Austria,3,2,Germany
1934,Italy,Czechoslovakia,2,1,Italy
1938,Switzerland,Germany,1,1,Germany
1938,Hungary,Dutch East Indies,6,0,Hungary
1938,France,Belgium,3,1,France
1938,Cuba,Romania,3,3,Romania
1938,Italy,Norway,2,1,Italy
1938,Brazil,Poland,6,5,Brazil
1938,Czechoslovakia,Netherlands,3,0,Czechoslovakia
1938,Cuba,Romania,2,1,Cuba
1938,Switzerland,Germany,4,2,Switzerland
1938,Brazil,Czechoslovakia,1,1,Czechoslovakia
1938,Hungary,Switzerland,2,0,Hungary
1938,Sweden,Cuba,8,0,Sweden
1938,Italy,France,3,1,Italy
1938,Brazil,Czechoslovakia,2,1,Brazil
1938,Hungary,Sweden,5,1,Hungary
1938,Italy,Brazil,2,1,Italy
1938,Brazil,Sweden,4,2,Brazil
1938,Italy,Hungary,4,2,Italy
1950,Brazil,Mexico,4,0,Brazil
1950,England,Chile,2,0,England
1950,Spain,USA,3,1,Spain
1950,Sweden,Italy,3,2,Sweden
1950,Yugoslavia,Switzerland,3,0,Yugoslavia
1950,Brazil,Switzerland,2,2,Draw
1950,Yugoslavia,Mexico,4,1,Yugoslavia
1950,Spain,Chile,2,0,Spain
1950,Sweden,Paraguay,2,2,Draw
1950,USA,England,1,0,USA
1950,Brazil,Yugoslavia,2,0,Brazil
1950,Spain,England,1,0,Spain
1950,Italy,Paraguay,2,0,Italy
1950,Uruguay,Bolivia,8,0,Uruguay
1950,Switzerland,Mexico,2,1,Switzerland
1950,Chile,USA,5,2,Chile
1950,Uruguay,Spain,2,2,Draw
1950,Brazil,Sweden,7,1,Brazil
1950,Brazil,Spain,6,1,Brazil
1950,Uruguay,Sweden,3,2,Uruguay
1950,Sweden,Spain,3,1,Sweden
1950,Uruguay,Brazil,2,1,Uruguay
1954,Uruguay,Czechoslovakia,2,0,Uruguay
1954,Austria,Scotland,1,0,Austria
1954,Brazil,Mexico,5,0,Brazil
1954,Yugoslavia,France,1,0,Yugoslavia
1954,Germany FR,Turkey,4,1,Germany FR
1954,Hungary,Korea Republic,9,0,Hungary
1954,England,Belgium,4,4,Draw
1954,Switzerland,Italy,2,1,Switzerland
1954,Uruguay,Scotland,7,0,Uruguay
1954,Austria,Czechoslovakia,5,0,Austria
1954,France,Mexico,3,2,France
1954,Brazil,Yugoslavia,1,1,Draw
1954,Hungary,Germany FR,8,3,Hungary
1954,Turkey,Korea Republic,7,0,Turkey
1954,England,Switzerland,2,0,England
1954,Italy,Belgium,4,1,Italy
1954,Germany FR,Turkey,7,2,Germany FR
1954,Switzerland,Italy,4,1,Switzerland
1954,Uruguay,England,4,2,Uruguay
1954,Austria,Switzerland,7,5,Austria
1954,Germany FR,Yugoslavia,2,0,Germany FR
1954,Hungary,Brazil,4,2,Hungary
1954,Germany FR,Austria,6,1,Germany FR
1954,Hungary,Uruguay,4,2,Hungary
1954,Austria,Uruguay,3,1,Austria
1954,Germany FR,Hungary,3,2,Germany FR
1958,Sweden,Mexico,3,0,Sweden
1958,Soviet Union,England,2,2,Draw
1958,Argentina,Germany FR,1,3,Germany FR
1958,Hungary,Wales,1,1,Draw
1958,France,Paraguay,7,3,France
1958,Yugoslavia,Scotland,1,1,Draw
1958,Brazil,Austria,3,0,Brazil
1958,Northern Ireland,Czechoslovakia,1,0,Northern Ireland
1958,Brazil,England,0,0,Draw
1958,Mexico,Wales,1,1,Draw
1958,Paraguay,Scotland,3,2,Paraguay
1958,Yugoslavia,France,3,2,Yugoslavia
1958,Soviet Union,Austria,2,0,Soviet Union
1958,Germany FR,Czechoslovakia,2,2,Draw
1958,Argentina,Northern Ireland,3,1,Argentina
1958,Sweden,Hungary,2,1,Sweden
1958,Sweden,Wales,0,0,Draw
1958,Brazil,Soviet Union,2,0,Brazil
1958,Germany FR,Northern Ireland,2,2,Draw
1958,Hungary,Mexico,4,0,Hungary
1958,Paraguay,Yugoslavia,3,3,Draw
1958,France,Scotland,2,1,France
1958,England,Austria,2,2,Draw
1958,Czechoslovakia,Argentina,6,1,Czechoslovakia
1958,Soviet Union,England,1,0,Soviet Union
1958,Northern Ireland,Czechoslovakia,2,1,Northern Ireland
1958,Wales,Hungary,2,1,Wales
